City_ID,City,Country,Date,Longitude,Latitude,Max Temperature,Humidity,Cloudiness,Wind speed
87,gambela,ET,1584297707,34.58,8.25,82.38,56,51,6.22
88,port hedland,AU,1584297707,118.57,-20.32,80.6,88,0,6.93
89,longyearbyen,SJ,1584297708,15.64,78.22,-5.8,63,40,4.7
90,westerly,US,1584297423,-71.83,41.38,51.01,19,1,8.05
91,syracuse,IT,1584297708,15.28,37.09,60.8,77,75,6.93
92,outjo,NA,1584297708,16.15,-20.12,71.6,73,41,6.31
93,chokurdakh,RU,1584297708,147.92,70.63,-22.2,71,0,4.07
94,bitag,PH,1584297708,121.85,17.9,66.9,94,96,2.75
95,luderitz,NA,1584297709,15.16,-26.65,71.6,60,0,17.22
96,madimba,TZ,1584297709,40.33,-10.4,82.02,77,95,2.91
97,henties bay,NA,1584297709,14.28,-22.12,62.01,92,0,1.01
98,busselton,AU,1584297705,115.33,-33.65,63.0,73,42,9.8
99,berlevag,NO,1584297709,29.09,70.86,26.6,49,20,8.05
100,usakos,NA,1584297710,15.6,-22.0,77.7,31,0,8.84
101,falam,MM,1584297710,93.68,22.92,58.44,51,6,1.66
102,asau,RO,1584297710,26.4,46.43,30.2,42,0,5.82
103,ribeira grande,PT,1584297710,-28.7,38.52,64.4,72,20,6.93
104,coahuayana,MX,1584297710,-103.68,18.73,77.0,83,40,5.86
105,lafia,NG,1584297711,8.52,8.48,93.0,10,24,4.52
106,port elizabeth,ZA,1584297456,25.57,-33.92,62.6,93,40,3.36
107,karratha,AU,1584297711,116.85,-20.74,83.82,81,7,17.78
108,labuhan,ID,1584297711,112.21,-6.88,76.08,91,52,2.73
109,armacao de pera,PT,1584297711,-8.36,37.1,64.0,82,40,11.41
110,thompson,CA,1584297711,-97.86,55.74,15.8,43,20,14.99
111,atuona,PF,1584297711,-139.03,-9.8,81.84,67,17,9.04
112,chuy,UY,1584297712,-53.46,-33.7,73.2,56,100,10.65
113,kodiak,US,1584297712,-152.41,57.79,21.2,79,1,6.93
114,norman wells,CA,1584297712,-126.83,65.28,17.6,61,75,18.34
115,bubaque,GW,1584297712,-15.83,11.28,81.84,63,100,18.28
116,salinopolis,BR,1584297712,-47.36,-0.61,78.24,87,100,5.82
117,dillon,US,1584297712,-79.37,34.42,60.01,81,90,8.05
118,arrecife,ES,1584297531,-13.55,28.96,69.8,60,20,16.11
119,clyde river,CA,1584297712,-68.59,70.47,-18.4,75,75,12.75
120,paamiut,GL,1584297712,-49.67,61.99,8.22,62,9,15.17
121,srednekolymsk,RU,1584297713,153.68,67.45,-22.02,97,57,3.91
122,coihaique,CL,1584297713,-72.07,-45.58,64.4,55,40,8.05
123,upernavik,GL,1584297713,-56.15,72.79,-18.6,74,0,3.8
124,tazovskiy,RU,1584297713,78.7,67.47,-5.1,89,100,6.73
125,egvekinot,RU,1584297713,-179.17,66.32,8.22,99,99,6.24
126,kempele,FI,1584297713,25.5,64.91,33.8,100,90,10.29
127,port alfred,ZA,1584297713,26.89,-33.59,63.0,98,90,16.08
128,leh,IN,1584297622,77.58,34.17,13.44,50,0,2.1
129,georgetown,MY,1584297714,100.34,5.41,80.6,88,20,2.24
130,vestmannaeyjar,IS,1584297714,-20.27,63.44,39.2,64,90,13.87
131,teahupoo,PF,1584297714,-149.27,-17.83,84.2,66,20,5.82
132,junction city,US,1584297714,-96.83,39.03,37.4,74,90,9.17
133,carnarvon,AU,1584297714,113.63,-24.87,77.0,83,90,11.41
134,barrow,US,1584297714,-156.79,71.29,-7.6,69,1,13.87
135,lasa,IT,1584297708,10.7,46.62,48.2,79,61,11.41
136,aripuana,BR,1584297715,-60.63,-9.17,80.04,79,100,3.2
137,matera,IT,1584297715,16.42,40.5,57.2,50,5,12.75
138,muli,MV,1584297715,73.57,2.92,84.54,69,18,6.26
139,tilichiki,RU,1584297715,166.1,60.47,8.76,94,98,7.27
140,torbay,CA,1584297715,-52.73,47.67,33.01,86,90,21.92
141,whitehorse,CA,1584297689,-135.05,60.72,23.0,65,20,5.82
142,lebu,CL,1584297715,-73.65,-37.62,67.98,40,0,10.67
143,anadyr,RU,1584297716,177.48,64.75,26.6,79,75,6.71
144,baykalsk,RU,1584297716,104.15,51.51,25.86,90,81,6.17
145,vao,NC,1584297716,167.48,-22.67,84.0,72,41,45.79
146,ugoofaaru,MV,1584297716,73.0,5.67,83.64,75,3,9.66
147,sandwick,GB,1584297716,-1.25,60.0,37.4,59,40,11.41
148,saint-philippe,RE,1584297716,55.77,-21.36,78.8,78,100,13.87
